album_popularity,album_id,energy,analysis_url,speechiness,duration,id,title,track_popularity,track_id,acousticness,track_href,artist_id,artist_popularity,danceability,album_release_date,tempo,number,instrumentalness,key,duration_ms,album_name,now_release_date,artist,type,liveness,uri,volume_number,mode,time_signature,loudness,valence
66,2izt0SbAU917Npr4YLVgMJ,0.694,https://api.spotify.com/v1/audio-analysis/7EKTo6rVJ3XSS7QTd6ep2j,0.189,222,7EKTo6rVJ3XSS7QTd6ep2j,Look At Me Now,66,7EKTo6rVJ3XSS7QTd6ep2j,0.0439,https://api.spotify.com/v1/tracks/7EKTo6rVJ3XSS7QTd6ep2j,7bXgB6jMjp9ATFy66eO08Z,90,0.764,2011-02-01,146.075,10.,3.67e-06,11,223933,Look At Me Now,"May 3, 2011",Chris Brown,audio_features,0.18,spotify:track:7EKTo6rVJ3XSS7QTd6ep2j,38,0,4,-5.745,0.577
69,3sGj0fBj5EJbewKgCWA1uD,0.577,https://api.spotify.com/v1/audio-analysis/0x3TibRgnSqzkcwrqBd4iX,0.127,227,0x3TibRgnSqzkcwrqBd4iX,Down On Me,64,0x3TibRgnSqzkcwrqBd4iX,0.0436,https://api.spotify.com/v1/tracks/0x3TibRgnSqzkcwrqBd4iX,3KV3p5EY4AvKxOlhGHORLg,86,0.697,2010-09-28,160.035,11.,0,2,228453,All About You,"May 3, 2011",Jeremih,audio_features,0.11,spotify:track:0x3TibRgnSqzkcwrqBd4iX,38,1,4,-7.653,0.646
54,0BkpKcHw606at6Y2cp8kdE,0.798,https://api.spotify.com/v1/audio-analysis/7vWFaMq63AwkFDhS2OAg5u,0.0776,250,7vWFaMq63AwkFDhS2OAg5u,The Time (Dirty Bit),51,7vWFaMq63AwkFDhS2OAg5u,0.0782,https://api.spotify.com/v1/tracks/7vWFaMq63AwkFDhS2OAg5u,1yxSLGMDHlW21z4YXirZDS,78,0.829,2010-01-01,127.991,12.,3.78e-06,6,307640,The Beginning (Deluxe),"May 3, 2011",The Black Eyed Peas,audio_features,0.59,spotify:track:7vWFaMq63AwkFDhS2OAg5u,38,0,4,-7.808,0.469
55,5GNPZT1Bxq0EP7PQDQmK3U,0.893,https://api.spotify.com/v1/audio-analysis/0aBKFfdyOD1Ttvgv0cfjjJ,0.0543,227,0aBKFfdyOD1Ttvgv0cfjjJ,More - RedOne Jimmy Joker Remix,55,0aBKFfdyOD1Ttvgv0cfjjJ,0.00166,https://api.spotify.com/v1/tracks/0aBKFfdyOD1Ttvgv0cfjjJ,23zg3TcAtWQy7J6upgbUnj,85,0.551,2011-01-26,125.083,13.,0,7,219987,More,"May 3, 2011",Usher,audio_features,0.348,spotify:track:0aBKFfdyOD1Ttvgv0cfjjJ,38,1,4,-2.628,0.809
82,1azUkThwd2HfUDdeNeT147,0.756,https://api.spotify.com/v1/audio-analysis/1CkvWZme3pRgbzaxZnTl5X,0.0294,226,1CkvWZme3pRgbzaxZnTl5X,Rolling in the Deep,70,1CkvWZme3pRgbzaxZnTl5X,0.131,https://api.spotify.com/v1/tracks/1CkvWZme3pRgbzaxZnTl5X,4dpARuHxo51G3z768sgnrY,89,0.729,2011-01-19,104.945,14.,0,8,228293,21,"May 3, 2011",Adele,audio_features,0.0527,spotify:track:1CkvWZme3pRgbzaxZnTl5X,38,1,4,-5.119,0.523
55,0kA2VAfzhFIIv0jEHdFKEN,0.875,https://api.spotify.com/v1/audio-analysis/7AqISujIaWcY3h5zrOqt5v,0.0649,220,7AqISujIaWcY3h5zrOqt5v,Forget You,55,7AqISujIaWcY3h5zrOqt5v,0.134,https://api.spotify.com/v1/tracks/7AqISujIaWcY3h5zrOqt5v,5nLYd9ST4Cnwy6NHaCxbj8,68,0.696,2010-11-09,127.39,15.,0,0,222733,The Lady Killer,"May 3, 2011",CeeLo Green,audio_features,0.159,spotify:track:7AqISujIaWcY3h5zrOqt5v,38,1,4,-3.682,0.77
65,3SUtKkjatUCubbgOC8OP4o,0.932,https://api.spotify.com/v1/audio-analysis/5zTzDqrEmseqL2G8ElgBu7,0.0576,229,5zTzDqrEmseqL2G8ElgBu7,What the Hell,58,5zTzDqrEmseqL2G8ElgBu7,0.00448,https://api.spotify.com/v1/tracks/5zTzDqrEmseqL2G8ElgBu7,0p4nmQO2msCgU4IF37Wi3j,76,0.571,2011-03-04,150.014,16.,0.00939,6,220627,Goodbye Lullaby,"May 3, 2011",Avril Lavigne,audio_features,0.117,spotify:track:5zTzDqrEmseqL2G8ElgBu7,38,0,4,-3.68,0.858
66,0UkgnXc0w7qiRE2X086BdN,0.783,https://api.spotify.com/v1/audio-analysis/2i0AUcEnsDm3dsqLrFWUCq,0.119,198,2i0AUcEnsDm3dsqLrFWUCq,Tonight Tonight,62,2i0AUcEnsDm3dsqLrFWUCq,0.0764,https://api.spotify.com/v1/tracks/2i0AUcEnsDm3dsqLrFWUCq,6jTnHxhb6cDCaCu4rdvsQ0,59,0.686,2011-11-25,99.978,17.,0,4,200467,Whatever,"May 3, 2011",Hot Chelle Rae,audio_features,0.163,spotify:track:2i0AUcEnsDm3dsqLrFWUCq,38,1,4,-4.977,0.821
60,7drIw3eAGaFbqjAQe9EMYF,0.876,https://api.spotify.com/v1/audio-analysis/4XOKmTc6UQ8YG16wdgNNET,0.0462,213,4XOKmTc6UQ8YG16wdgNNET,You And Me,35,4XOKmTc6UQ8YG16wdgNNET,0.00464,https://api.spotify.com/v1/tracks/4XOKmTc6UQ8YG16wdgNNET,2PCUhxD40qlMqsKHjTZD2e,64,0.495,2011-05-17,178.966,18.,1.48e-06,0,216813,The Way It Was,"May 3, 2011",Parachute,audio_features,0.378,spotify:track:4XOKmTc6UQ8YG16wdgNNET,38,1,4,-5.12,0.793
53,24CUjHxsqMFRx8f4P7iITD,0.713,https://api.spotify.com/v1/audio-analysis/0e5G60cFB8ovQNAciKOVeD,0.027,226,0e5G60cFB8ovQNAciKOVeD,I'll Be Waiting,24,0e5G60cFB8ovQNAciKOVeD,0.0342,https://api.spotify.com/v1/tracks/0e5G60cFB8ovQNAciKOVeD,1mHuZMOP8FG5ip4yAb1vrB,58,0.691,2010-01-01,96.985,19.,0.0132,9,279467,The Sound Of Sunshine,"May 3, 2011",Michael Franti & Spearhead,audio_features,0.112,spotify:track:0e5G60cFB8ovQNAciKOVeD,38,1,4,-6.983,0.731
