,track_id,acousticness,album_popularity,artist_popularity,album_release_date,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,now,speechiness,tempo,track_popularity,valence
304,596ShP1KQsIzk7dTpJNXJi,0.0594,23.0,78.0,2016-04-02,0.563,194253.0,0.855,0.0,6.0,0.123,-3.715,0.0,0,0.0727,160.113,23.0,0.908
216,5ArQzSBevAdXTxRY6Ulhbq,0.0447,85.0,79.0,2016-04-01,0.712,206903.0,0.799,6.4e-05,7.0,0.37,-4.564,0.0,1,0.0703,83.996,73.0,0.6
307,5BIwPoVMFnFIr8RzJunRvf,0.0717,33.0,76.0,2016-03-29,0.622,233813.0,0.827,0.0,7.0,0.0764,-5.736,1.0,0,0.0478,100.002,33.0,0.313
586,5CRVwXGikmqzoRO6q7FeAg,0.781,85.0,86.0,2015-11-13,0.565,230320.0,0.245,0.0,5.0,0.0998,-9.132,1.0,0,0.0262,75.055,66.0,0.3
332,5DZHM6KMuTXl3sJin3b6yx,0.578,9.0,67.0,2016-01-22,0.724,232720.0,0.561,0.0,0.0,0.0551,-5.912,1.0,0,0.0795,149.992,9.0,0.572
240,5EQ9yEra0SzVd673ZfKT4C,0.00338,66.0,65.0,2015-08-28,0.553,243933.0,0.936,1.35e-06,9.0,0.102,-5.015,1.0,1,0.11,144.884,61.0,0.402
76,5EbX5xL3O2xT8FxCpYzgUO,0.173,81.0,88.0,2016-10-28,0.315,175517.0,0.563,0.000242,9.0,0.0673,-9.671,1.0,0,0.354,179.484,81.0,0.151
535,5Eg4TsPcqNbIjd8ADMZosg,0.014,71.0,76.0,2015-11-20,0.538,203107.0,0.601,0.0,0.0,0.0723,-5.901,0.0,1,0.0472,151.895,54.0,0.154
627,5GbNhfhPM1se8BftcBCYxp,0.00734,1.0,82.0,2015-10-08,0.632,222685.0,0.8,1.3e-05,10.0,0.107,-3.114,0.0,0,0.0377,97.006,1.0,0.898
400,5HECcy1xFIH8RbCG813DgD,0.0374,41.0,76.0,2016-03-18,0.886,209520.0,0.682,0.0,4.0,0.319,-4.837,1.0,0,0.0778,100.036,41.0,0.193
395,5IZc3KIVFhjzJ0L2kiXzUl,0.0599,76.0,81.0,2015-12-25,0.797,224240.0,0.469,0.0,8.0,0.0753,-8.112,1.0,0,0.0646,103.057,71.0,0.475
203,5J5PXmMdQ2nh1lZOal8KmK,0.0451,84.0,81.0,2016-10-28,0.592,280615.0,0.701,0.0,10.0,0.327,-4.014,0.0,0,0.0858,129.501,78.0,0.299
564,5JcxAgRw2S3hb67AA8Vk13,0.88,91.0,95.0,2015-11-13,0.383,134347.0,0.256,2.69e-06,0.0,0.169,-8.572,1.0,0,0.0332,114.188,63.0,0.501
164,5KdhJG3BXUmLoO4JdycCPw,0.0538,39.0,84.0,2016-03-23,0.807,235477.0,0.346,2.55e-06,2.0,0.087,-10.275,1.0,0,0.0613,84.98,39.0,0.0604
264,5M2j5k8uS08xE8HnGVgabR,0.622,15.0,80.0,2015-06-22,0.67,281426.0,0.309,1.54e-06,10.0,0.152,-10.269,1.0,0,0.0557,147.71,13.0,0.392
526,5MGNXZUqLX8HCsAplTjzxw,0.189,77.0,88.0,2015-01-06,0.692,212947.0,0.567,0.0,2.0,0.0725,-6.205,1.0,0,0.161,185.08,65.0,0.108
612,5NQJnRpJHRaupdegphntQT,0.0108,71.0,76.0,2015-11-20,0.688,222187.0,0.712,0.0,11.0,0.458,-3.573,0.0,1,0.0683,93.027,62.0,0.49
446,5NQbUaeTEOGdD6hHcre0dZ,0.00256,76.0,87.0,2015-06-29,0.618,196693.0,0.717,0.0,7.0,0.625,-5.738,1.0,0,0.318,190.05,76.0,0.601
652,5NUvj4WX2tAQGxOF4CWJ7I,0.00195,53.0,68.0,2015-05-26,0.654,169827.0,0.749,0.0,1.0,0.0956,-5.383,0.0,0,0.0257,108.004,53.0,0.78
389,5OUSPcqhYTOzpbXzoEvKim,0.0304,78.0,76.0,2016-05-06,0.681,184040.0,0.845,0.0,11.0,0.197,-5.147,0.0,0,0.0525,132.023,56.0,0.761
362,5PMNu7kMZ4msbxiKnDTOt0,0.145,91.0,100.0,2016-05-13,0.874,195053.0,0.406,0.000242,1.0,0.112,-10.025,1.0,0,0.266,127.978,62.0,0.811
305,5PNcJn4oFNvlRfrZBHfqWh,0.161,73.0,75.0,2015-04-28,0.634,188053.0,0.78,0.0,8.0,0.112,-4.928,1.0,0,0.0477,101.066,58.0,0.932
956,5PUawWFG1oIS2NwEcyHaCr,0.119,78.0,83.0,2015-01-20,0.623,211573.0,0.956,0.000227,4.0,0.617,-2.608,0.0,1,0.0753,149.958,65.0,0.718
323,5QrT8pNtw1UnjqFuSUsenv,0.212,76.0,89.0,2016-07-22,0.921,215373.0,0.373,0.0,6.0,0.105,-11.513,1.0,0,0.328,125.981,62.0,0.18
951,5RIVoVdkDLEygELLCniZFr,0.265,64.0,65.0,2015-05-06,0.825,185131.0,0.77,0.0,8.0,0.334,-8.508,1.0,1,0.134,139.982,64.0,0.964
443,5RZmUoiuMrOMQlZqy72WCG,0.0479,58.0,75.0,2015-04-28,0.616,191600.0,0.841,2.12e-06,8.0,0.129,-5.189,0.0,0,0.0787,125.938,41.0,0.371
566,5SUMCn9tWrEn2LZDeQMwZs,0.319,65.0,67.0,2016-10-14,0.83,188207.0,0.315,0.0113,9.0,0.101,-13.978,0.0,1,0.0497,104.045,65.0,0.172
963,5XFu5S1vBY7sNHlheCapOz,0.392,80.0,80.0,2015-08-07,0.629,241613.0,0.878,0.0,9.0,0.0899,-3.535,1.0,1,0.0443,137.989,68.0,0.721
953,5XfywqPX6XBOdYQNbOaQvy,0.174,68.0,87.0,2015-08-19,0.6,221560.0,0.67,0.0,5.0,0.0746,-6.455,0.0,1,0.0538,88.955,68.0,0.236
655,5Y9IXuzLK75DkVa8ZWKTne,0.0126,28.0,75.0,2015-04-23,0.712,155653.0,0.579,0.0,1.0,0.0672,-3.897,1.0,0,0.0268,98.994,28.0,0.37
377,5YHR8wBR5jXfGtP766NiAT,0.0487,69.0,83.0,2016-04-01,0.503,203105.0,0.843,0.0,10.0,0.344,-4.991,0.0,0,0.316,128.63,69.0,0.774
712,5a097PAwAVU5MFYVue0xmZ,0.0604,30.0,46.0,2016-02-12,0.632,284741.0,0.579,0.885,6.0,0.161,-12.204,1.0,1,0.0422,135.009,30.0,0.238
631,5a5BZe4XVd1bvWXLOLPUfV,0.511,77.0,91.0,2015-09-20,0.757,188703.0,0.528,0.000334,0.0,0.0936,-10.799,0.0,0,0.274,146.056,55.0,0.3
536,5az4fckVxzi1tUyIrwRdos,0.00116,42.0,87.0,2015-09-16,0.746,173893.0,0.764,8.19e-06,0.0,0.0867,-5.066,0.0,0,0.0423,137.98,42.0,0.503
174,5azuYJZsobD2XRlGvStL2s,0.131,60.0,81.0,2016-07-22,0.596,239853.0,0.713,0.0,6.0,0.0754,-3.121,1.0,0,0.0425,122.908,60.0,0.333
531,5bcYCYn63zNOjBv3KPOLjd,0.00346,76.0,90.0,2015-11-27,0.723,176561.0,0.809,0.00123,7.0,0.565,-3.081,0.0,1,0.0625,98.007,68.0,0.271
278,5c6vPEx6QTUTjmLiza1bpy,0.0229,44.0,72.0,2016-04-25,0.519,198213.0,0.741,0.0,8.0,0.0753,-4.015,1.0,0,0.298,106.366,44.0,0.783
1027,5d967hRg6jQtfyRQTt9iKl,0.0652,79.0,90.0,2015-11-20,0.651,214533.0,0.59,0.0,10.0,0.111,-5.008,1.0,1,0.0321,113.991,61.0,0.161
587,5dONhl6aXFuN86UBdayF6W,0.0438,85.0,86.0,2015-11-13,0.64,177973.0,0.681,0.0,6.0,0.166,-5.362,1.0,0,0.0334,118.062,61.0,0.673
24,5dTJMpqiELczVuHJP3OAEu,0.711,77.0,75.0,2016-09-29,0.69,232600.0,0.407,0.0,9.0,0.126,-7.739,1.0,0,0.0297,111.916,77.0,0.178
924,5efvxYn0J1q8iuIZBqpDD7,0.0787,59.0,55.0,2016-06-10,0.53,205693.0,0.836,0.0,11.0,0.419,-3.873,0.0,1,0.0677,72.754,55.0,0.772
605,5f3Z6r36eCwcLzyuHs4qgj,0.0593,3.0,76.0,2015-08-21,0.707,167707.0,0.652,0.0,3.0,0.272,-4.704,0.0,0,0.282,102.138,3.0,0.673
812,5fKbkAwQqPNF7Us0UUFNJK,0.768,48.0,49.0,2015-05-20,0.308,191320.0,0.355,0.0,10.0,0.0875,-8.226,1.0,0,0.0274,84.046,26.0,0.178
955,5fsQSDifYpjfbCqvZKPVBj,0.00216,71.0,78.0,2015-10-23,0.659,216454.0,0.9,0.0,4.0,0.111,-4.856,1.0,1,0.0317,118.04,56.0,0.882
926,5g0i6B7xPsaldRbjxMd2OL,0.222,48.0,51.0,2016-02-26,0.715,210909.0,0.702,2.33e-06,9.0,0.81,-4.856,0.0,1,0.0277,98.993,47.0,0.833
765,5gnV9rhNQlb6nqFiwQgKVf,0.0279,31.0,75.0,2015-01-12,0.72,205720.0,0.849,0.000169,6.0,0.0971,-2.246,1.0,0,0.0316,105.012,31.0,0.959
363,5heM8paxfPJO5rAICyRb7L,0.283,13.0,70.0,2015-12-18,0.791,224640.0,0.563,0.0,1.0,0.0799,-4.86,1.0,0,0.0708,133.986,13.0,0.264
764,5jE48hhRu8E6zBDPRSkEq7,0.0573,81.0,82.0,2015-01-09,0.807,187920.0,0.887,2.87e-06,9.0,0.124,-3.726,1.0,0,0.0503,134.052,66.0,0.961
692,5jFkv67UEKGNu2HgcxABIJ,0.0357,0.0,91.0,2015-02-26,0.878,236748.0,0.561,0.000237,11.0,0.133,-5.978,0.0,0,0.218,139.962,0.0,0.326
412,5jc9qLH1djdgTj0oVwhpk6,0.0592,7.0,72.0,2015-12-14,0.489,190173.0,0.641,0.0,7.0,0.0857,-4.455,1.0,0,0.0282,136.095,7.0,0.301
238,5kNe7PE09d6Kvw5pAsx23n,0.381,77.0,76.0,2015-09-25,0.66,227427.0,0.383,0.0,2.0,0.119,-9.377,1.0,1,0.0304,83.096,71.0,0.38
23,5knuzwU65gJK7IF5yJsuaW,0.406,95.0,88.0,2016-10-21,0.72,251088.0,0.763,0.0,9.0,0.18,-4.068,0.0,0,0.0523,101.965,95.0,0.748
1144,5kqIPrATaCc2LqxVWzQGbk,0.287,85.0,79.0,2016-04-01,0.765,237300.0,0.473,0.0,10.0,0.391,-5.829,1.0,1,0.0514,119.992,81.0,0.343
841,5kqQoLsjAHHxXmVe4oBT83,0.112,75.0,93.0,2015-03-16,0.539,271773.0,0.731,1.19e-06,3.0,0.129,-5.085,0.0,0,0.453,81.114,51.0,0.562
360,5l5cQAKkeGIkPBH3ieHYju,0.000544,34.0,76.0,2016-01-19,0.569,199893.0,0.659,0.0,7.0,0.0799,-6.377,1.0,0,0.0307,144.029,34.0,0.441
672,5lnsCyEKWofnC00U4Ax0ti,0.0509,70.0,94.0,2015-03-26,0.781,219306.0,0.728,1.94e-06,1.0,0.257,-4.981,1.0,0,0.0621,102.99,70.0,0.376
538,5nN8BwAQDJDguq7Dpd3JQQ,0.0933,84.0,91.0,2015-07-17,0.813,208027.0,0.453,0.0,1.0,0.14,-6.941,1.0,0,0.338,161.997,73.0,0.186
590,5omYVLodGmaxnhua99xIE8,0.227,85.0,86.0,2015-11-13,0.586,209040.0,0.527,0.0,3.0,0.0963,-4.905,1.0,0,0.0309,141.839,65.0,0.485
128,5oyUurs28XRagLa8lgm6V3,0.0496,76.0,69.0,2016-08-19,0.96,223093.0,0.547,0.0,6.0,0.216,-6.992,0.0,0,0.0786,121.01,76.0,0.18
638,5pJnRLlzUcRxrtYgfdUwvg,0.653,77.0,100.0,2015-09-20,0.747,253935.0,0.621,0.0,4.0,0.124,-9.115,0.0,0,0.394,89.282,51.0,0.311
88,5qRRiqndqXaq2QBudIrkYU,0.0595,74.0,75.0,2015-10-23,0.456,204093.0,0.874,1.12e-05,10.0,0.111,-4.129,0.0,0,0.114,200.179,65.0,0.498
90,5qi7piHIt9zwTYYBnIvfNZ,0.0143,64.0,65.0,2016-05-13,0.743,219512.0,0.651,0.0,6.0,0.079,-5.974,1.0,0,0.0646,82.022,62.0,0.482
